Text;Face;Person;Objects;Background
0.0351012152777778;0;0;0;0.964898784722223
0;0;0;0;1
0;0;0.0170340740740741;0.00884572530864197;0.974120200617284
0;0.00392616102430556;0.0164967230902778;0.00308943142361111;0.976487684461806
0;0.00429443359375;0.0294788953993056;0.00107293836805556;0.965153732638889
0;0.00147215277777778;0.0264136574074074;0.0223552199074074;0.949758969907408
0;0.0109697296626984;0.0453004092261905;0;0.943729861111111
0;0.00709294546070461;0.104549178523035;0.0188614498644986;0.869496426151762
0;0.00677249842171717;0.0493950284090909;0.00138937815656566;0.942443095012626
0;0.0099552734375;0.067672265625;0.0116842230902778;0.910688237847222
0;0.00869625;0.0699008333333333;0.00419627314814815;0.917206643518519
0;0.0132330650252525;0.0806723011363636;0.0253129577020202;0.880781676136364
0.0289932765151515;0;0;0.00398826546717172;0.967018458017677
0.00133686787749288;0.000815856481481482;0.0703612268518519;0.00650503027065527;0.920981018518518
0;0.00541054804804805;0.0330622372372372;0;0.961527214714715
0;0.0038719115497076;0.0578639315302144;0.0284626401072125;0.909801516812865
0;0.0081099537037037;0.116876198743386;0.0103718832671958;0.864641964285714
0;0.00851515046296297;0.0810991319444445;0.00184209490740741;0.908543622685185
0.0252880208333333;0;0;0;0.974711979166667
0;0.00256778143274854;0.0641706871345029;0.0100526864035088;0.92320884502924
0;0.00441730324074074;0.088372662037037;0.0192356018518518;0.887974432870371
0.00102792658730159;0.00833204365079365;0.092273685515873;0.0253952628968254;0.872971081349206
0;0.011101375534188;0.0753630275106838;0.0552184495192308;0.858317147435897
0;0.00977146527777777;0.0456832986111111;0;0.944545236111111
0.00203110224586288;0.00696812943262412;0.0434789524231678;0.00839809397163121;0.939123721926714
0;0.00859024057539683;0.056157316468254;0;0.935252442956349
0.0202270471643518;0;0;0;0.979772952835649
0.00566295138888889;0;0;0;0.994337048611111
0.000619868827160494;0.0107472608024691;0.0299644290123457;0;0.958668441358025
0;0.0165619106359649;0.0550975557383041;0.0016656706871345;0.926674862938596
0;0.0187204237891738;0.0608325231481481;0.00133087606837607;0.919116176994302
0;0.00323973023504273;0.0950074385683761;0.0515224759615385;0.850230355235043
0;0.0064447392557652;0.076136982442348;0.00997399764150944;0.907444280660377
0;0.00462521081349206;0.106043191964286;0.0335827876984127;0.855748809523809
8.81692834138486e-05;0.0106065770933977;0.0699184581320451;0.00810126811594203;0.911285527375201
0.00603005952380952;0;0;0;0.993969940476191
0.000850992063492063;0.00210553075396825;0.0258527033730159;0.00058968253968254;0.970601091269841
0;0.0045126232078853;0.0749827508960574;0.00776673387096774;0.91273789202509
0;0.00544557748538012;0.0190654148391813;6.43731725146199e-05;0.975424634502924
0;0.00445589610042735;0.0685980368589744;0.00604981971153846;0.92089624732906
0.00755574074074074;0;0;0;0.992444259259259
0.00150947916666667;0.00192159722222222;0.0195255902777778;6.29513888888889e-05;0.976980381944444
0;0.00372880434782609;0.0774405948067633;0.000931053743961353;0.917899547101449
0;0.0042649066091954;0.0978214679118774;0.00209377394636015;0.895819851532567
0;0.00958988715277778;0.0320838541666667;0;0.958326258680556
0;0.00298601641414141;0.0958171085858586;0.00265108901515152;0.898545785984849
0.00836300505050505;0;0;0;0.991636994949495
0.00108953703703704;0.00554715277777778;0.0372090046296296;0;0.956154305555556
0;0.00644524305555556;0.107579826388889;0.00104527777777778;0.884929652777778
0;0.00211167763157895;0.0639149671052632;0;0.933973355263158
0;0.00935976957070707;0.0780816603535354;0;0.912558570075758
0;0;0.0148368668300654;0.0152373161764706;0.969925816993464
0;0;0.0918625789141414;4.87689393939394e-06;0.908132544191919
0.00995333333333333;0;0;0;0.990046666666667
0.00149369658119658;0.0035326655982906;0.041973985042735;0;0.952999652777778
9.84601449275362e-05;0.00379624094202899;0.115965511775362;0;0.880139787137681
0.0011619341563786;0.01273141718107;0.0953381172839506;0;0.890768531378601
0;0.0130085254137116;0.118789361702128;0;0.868202112884161
0.00924616608796297;0;0;0;0.990753833912037
0.00100096450617284;0.00193283179012346;0.0121288194444444;0.000724189814814815;0.984213194444444
0;0.00280367476851852;0.027474146412037;0.00758359375;0.962138585069444
0;0.004693375;0.0509508333333333;0.0447707916666667;0.899585
0;0.0034445987654321;0.0357975308641975;0.00380347222222222;0.956954398148148
0;0.0113291087962963;0.107899305555556;0.016044849537037;0.864726736111111
0;0.00185833333333333;0.0192991185897436;0.0118379540598291;0.967004594017094
0;0.00663498263888889;0.0319858362268519;0.00175008680555556;0.959629094328704
0.00755220959595959;0;0;0;0.99244779040404
0.000829706790123457;0.00340378086419753;0.026014737654321;0.00480628858024691;0.964945486111111
