,TimeStamp,Frame,Number of Faces (left->right),Face Position,angry,disgust,fear,happy,sad,surprise,neutral
0,9134.125,220.0,1,0,0.047652263194322586,0.004478267394006252,0.6135449409484863,0.00211171037517488,0.29078173637390137,0.0011793022276833653,0.040251825004816055
1,10385.375,250.0,1,0,0.011959288269281387,3.314724494885013e-07,0.0029876474291086197,0.6258350610733032,0.06296128034591675,0.0019792194943875074,0.294277161359787
2,12470.791666666666,300.0,1,0,0.00013717307592742145,1.291189599683662e-09,0.0010738552082329988,0.20642484724521637,0.010588165372610092,0.00015736512432340533,0.781618595123291
3,12887.875,310.0,1,0,1.1019043995474931e-05,2.9559144021362727e-10,0.00013005301298107952,0.07190156728029251,0.008413081057369709,4.2177318391622975e-05,0.9195021390914917
4,13304.958333333334,320.0,1,0,4.875187005382031e-05,1.3536928522572822e-10,9.195272286888212e-05,0.05153072997927666,0.0024103783071041107,5.571053770836443e-05,0.9458624124526978
5,14556.208333333332,350.0,2,0,2.7365744244889356e-05,1.3558888456444151e-09,3.12335578200873e-05,0.36563432216644287,0.007290443871170282,7.614011821033273e-08,0.6270166039466858
6,14556.208333333332,350.0,2,1,0.08721207827329636,0.008173150010406971,0.1072230190038681,3.851686869893456e-06,0.7890388369560242,0.00015200172492768615,0.008197125978767872
7,14973.291666666666,360.0,1,0,0.10545384883880615,6.038234801053477e-07,0.020800350233912468,1.3177508662920445e-05,0.724754810333252,4.169011299381964e-05,0.1489354521036148
8,15390.374999999998,370.0,1,0,0.2884296774864197,0.00016679379041306674,0.07729387283325195,0.05330444127321243,0.5768688917160034,9.941524695022963e-06,0.003926368430256844
9,15807.458333333332,380.0,1,0,0.012645095586776733,8.429795707343146e-05,0.3593859076499939,0.010878019034862518,0.4552494287490845,0.0004972930182702839,0.16126000881195068
10,16224.541666666668,390.0,1,0,0.23684467375278473,0.00041580485412850976,0.09481378644704819,0.0008201258024200797,0.6258768439292908,0.0006408598856069148,0.040587928146123886
11,16641.624999999996,400.0,1,0,0.14149567484855652,2.6431254696035467e-07,0.044911112636327744,0.002483388176187873,0.5556137561798096,0.0006537321605719626,0.254842072725296
12,17058.708333333332,410.0,1,0,1.0795254690165734e-09,1.7075895696049036e-16,1.1607193504958868e-11,0.9934369921684265,4.28506240268689e-07,6.595776369522355e-09,0.006562529597431421
13,17475.791666666664,420.0,1,0,4.91783873281422e-14,1.0422634043168124e-27,1.2016539612522151e-18,0.9999998807907104,1.9752725320741453e-14,6.409763009669308e-15,1.2841603336255503e-07
14,17892.875,430.0,2,0,0.6797071099281311,0.0037284125573933125,0.040265973657369614,0.015878526493906975,0.16594243049621582,0.02887437492609024,0.065603107213974
15,17892.875,430.0,2,1,0.19319485127925873,0.0009705066913738847,0.5362395644187927,0.0014115693047642708,0.20950664579868317,0.001188088208436966,0.05748867243528366
16,18309.958333333336,440.0,1,0,0.07553907483816147,9.006607797346078e-07,0.028430581092834473,0.0016092361183837056,0.4482269287109375,1.8819644537870772e-05,0.4461744427680969
17,18727.041666666664,450.0,2,0,0.012289982289075851,4.382062979857437e-05,0.021727072075009346,0.0075875804759562016,0.0925942063331604,4.450387496035546e-05,0.8657128810882568
18,18727.041666666664,450.0,2,1,0.0692284032702446,0.027731290087103844,0.20201453566551208,0.004472102504223585,0.5204382538795471,0.013145851902663708,0.16296949982643127
19,23314.958333333332,560.0,1,0,0.12248349189758301,0.00040483855991624296,0.29794323444366455,0.00805133767426014,0.5397288799285889,0.015075554139912128,0.01631271466612816
20,24149.124999999996,580.0,1,0,0.03888644650578499,2.171182495658286e-05,0.48949310183525085,0.001157409162260592,0.399326354265213,0.0011579638812690973,0.0699569582939148
21,24983.291666666668,600.0,1,0,0.0986190214753151,1.2620965208043344e-05,0.12463787943124771,0.022630484774708748,0.4137837290763855,0.014127830974757671,0.32618841528892517
22,28737.041666666668,690.0,1,0,0.20827268064022064,1.3956325346953236e-05,0.06896676123142242,0.0004091660084668547,0.13488848507404327,0.008562938310205936,0.5788859724998474
23,29154.125,700.0,1,0,0.46007439494132996,1.7131402074710422e-08,0.007975774817168713,0.007515501696616411,0.00126517319586128,0.09506481140851974,0.42810434103012085
24,29571.208333333332,710.0,2,0,0.019004952162504196,6.762454063391488e-08,0.02739390730857849,1.8147550235880772e-06,0.7734165787696838,1.4317514569484047e-06,0.18018116056919098
25,29571.208333333332,710.0,2,1,0.03441305086016655,8.853656618157402e-05,0.030980674549937248,0.49045294523239136,0.03209773823618889,0.005179079249501228,0.40678805112838745
26,29988.291666666664,720.0,2,0,0.08204706758260727,1.539147092444182e-06,0.09219229966402054,4.869837357546203e-05,0.44428932666778564,9.355648944620043e-05,0.3813275396823883
27,29988.291666666664,720.0,2,1,0.39017239212989807,4.39596124124364e-06,0.0997597724199295,0.09500162303447723,0.20546501874923706,0.0002176624839194119,0.20937907695770264
28,30405.375,730.0,2,0,0.11673101037740707,0.015242863446474075,0.40074431896209717,0.0003647953853942454,0.31635355949401855,0.029344214126467705,0.12121929973363876
29,30405.375,730.0,2,1,0.27113574743270874,9.707649439860688e-08,0.7191113829612732,4.927079498884268e-05,0.00913090817630291,1.9838520529447123e-05,0.0005528128822334111
30,30822.458333333332,740.0,1,0,0.0803472176194191,6.349288742057979e-05,0.36850714683532715,4.4019096094416454e-05,0.339689701795578,0.010104709304869175,0.20124368369579315
31,34159.12499999999,820.0,1,0,0.23212917149066925,6.800146820751252e-06,0.09620678424835205,4.9820759159047157e-05,0.3464120030403137,2.5134899260592647e-05,0.3251703083515167
