FilePath, VideoName, SRate, Start, Stop, Duration
/Volumes/methlab_data/HBN/EEG-ET/NDARAC350XUM/NDARAC350XUM_Video2_Samples_ET.mat, Fractals, 120, 9278616276, 9441603319, 162987043
/Volumes/methlab_data/HBN/EEG-ET/NDARAC350XUM/NDARAC350XUM_Video3_Samples_ET.mat, Despicable, 120, 9700604108, 9871151283, 170547175
/Volumes/methlab_data/HBN/EEG-ET/NDARAC350XUM/NDARAC350XUM_Video4_Samples_ET.mat, Present, 120, 10393569750, 10596637487, 203067737
/Volumes/methlab_data/HBN/EEG-ET/NDARAC462DZH/NDARAC462DZH_Video-DM_Samples_ET.mat, Despicable, 60, 3060692640, 3231242265, 170549625
/Volumes/methlab_data/HBN/EEG-ET/NDARAC462DZH/NDARAC462DZH_Video-FF_Samples_ET.mat, Fractals, 60, 2631128836, 2794119129, 162990293
/Volumes/methlab_data/HBN/EEG-ET/NDARAC462DZH/NDARAC462DZH_Video-TP_Samples_ET.mat, Present, 60, 3558176487, 3761234133, 203057646
/Volumes/methlab_data/HBN/EEG-ET/NDARAC462DZH/NDARAC462DZH_Video-WK_Samples_ET.mat, Diary, 60, 1738025153, 1855416171, 117391018
/Volumes/methlab_data/HBN/EEG-ET/NDARAC589YMB/NDARAC589YMB_Video-DM_Samples_ET.mat, Despicable, 30, 5259935148, 5430472617, 170537469
/Volumes/methlab_data/HBN/EEG-ET/NDARAC589YMB/NDARAC589YMB_Video-TP_Samples_ET.mat, Present, 30, 5734721479, 5937989128, 203267649
/Volumes/methlab_data/HBN/EEG-ET/NDARAC589YMB/NDARAC589YMB_Video-WK_Samples_ET.mat, Diary, 30, 4274184923, 4391575863, 117390940
/Volumes/methlab_data/HBN/EEG-ET/NDARAC853CR6/NDARAC853CR6_Video-DM_Samples_ET.mat, Despicable, 30, 4189404425, 4359944000, 170539575
/Volumes/methlab_data/HBN/EEG-ET/NDARAC853CR6/NDARAC853CR6_Video-TP_Samples_ET.mat, Present, 30, 5042639651, 5245904375, 203264724
/Volumes/methlab_data/HBN/EEG-ET/NDARAC853CR6/NDARAC853CR6_Video-WK_Samples_ET.mat, Diary, 30, 4636870773, 4754259789, 117389016
/Volumes/methlab_data/HBN/EEG-ET/NDARAC853DTE/NDARAC853DTE_Video1_Samples_ET.mat, Diary, 60, 3279783839, 3397176815, 117392976
/Volumes/methlab_data/HBN/EEG-ET/NDARAC853DTE/NDARAC853DTE_Video3_Samples_ET.mat, Despicable, 60, 4257777965, 4428321456, 170543491
/Volumes/methlab_data/HBN/EEG-ET/NDARAC857HDB/NDARAC857HDB_Video1_Samples_ET.mat, Diary, 60, 3276726810, 3394121879, 117395069
/Volumes/methlab_data/HBN/EEG-ET/NDARAC857HDB/NDARAC857HDB_Video2_Samples_ET.mat, Fractals, 60, 2489366147, 2652357423, 162991276
/Volumes/methlab_data/HBN/EEG-ET/NDARAC857HDB/NDARAC857HDB_Video3_Samples_ET.mat, Despicable, 60, 3806230183, 3976771761, 170541578
/Volumes/methlab_data/HBN/EEG-ET/NDARAC857HDB/NDARAC857HDB_Video4_Samples_ET.mat, Present, 60, 4309803221, 4512873799, 203070578
/Volumes/methlab_data/HBN/EEG-ET/NDARAC904DMU/NDARAC904DMU_Video1_Samples_ET.mat, Diary, 60, 1925540576, 2042932462, 117391886
/Volumes/methlab_data/HBN/EEG-ET/NDARAC904DMU/NDARAC904DMU_Video3_Samples_ET.mat, Despicable, 60, 3088721040, 3259259501, 170538461
/Volumes/methlab_data/HBN/EEG-ET/NDARAD224CRB/NDARAD224CRB_Video1_Samples_ET.mat, Diary, 60, 3990439376, 4107827513, 117388137
/Volumes/methlab_data/HBN/EEG-ET/NDARAD224CRB/NDARAD224CRB_Video2_Samples_ET.mat, Fractals, 60, 2863108248, 3026098650, 162990402
/Volumes/methlab_data/HBN/EEG-ET/NDARAD224CRB/NDARAD224CRB_Video3_Samples_ET.mat, Despicable, 60, 3559163045, 3729711814, 170548769
/Volumes/methlab_data/HBN/EEG-ET/NDARAD224CRB/NDARAD224CRB_Video4_Samples_ET.mat, Present, 60, 4415670438, 4618739248, 203068810
/Volumes/methlab_data/HBN/EEG-ET/NDARAD481FXF/NDARAD481FXF_Video1_Samples_ET.mat, Diary, 60, 2224075023, 2341461996, 117386973
/Volumes/methlab_data/HBN/EEG-ET/NDARAD481FXF/NDARAD481FXF_Video3_Samples_ET.mat, Despicable, 60, 3355492547, 3526045072, 170552525
/Volumes/methlab_data/HBN/EEG-ET/NDARAD571FLB/NDARAD571FLB_Video-DM_Samples_ET.mat, Despicable, 60, 8677865827, 8848408407, 170542580
/Volumes/methlab_data/HBN/EEG-ET/NDARAD571FLB/NDARAD571FLB_Video-FF_Samples_ET.mat, Fractals, 60, 8179380399, 8342364649, 162984250
/Volumes/methlab_data/HBN/EEG-ET/NDARAD571FLB/NDARAD571FLB_Video-TP_Samples_ET.mat, Present, 60, 9250516733, 9453578280, 203061547
/Volumes/methlab_data/HBN/EEG-ET/NDARAD571FLB/NDARAD571FLB_Video-WK_Samples_ET.mat, Diary, 60, 7368443064, 7485835068, 117392004
/Volumes/methlab_data/HBN/EEG-ET/NDARAD615WLJ/NDARAD615WLJ_Video1_Samples_ET.mat, Diary, 60, 1617290115, 1734679124, 117389009
/Volumes/methlab_data/HBN/EEG-ET/NDARAD615WLJ/NDARAD615WLJ_Video2_Samples_ET.mat, Fractals, 60, 2247914975, 2410903211, 162988236
/Volumes/methlab_data/HBN/EEG-ET/NDARAD615WLJ/NDARAD615WLJ_Video3_Samples_ET.mat, Despicable, 60, 2726697449, 2895276677, 168579228
/Volumes/methlab_data/HBN/EEG-ET/NDARAD615WLJ/NDARAD615WLJ_Video4_Samples_ET.mat, Present, 60, 3289030037, 3492179678, 203149641
/Volumes/methlab_data/HBN/EEG-ET/NDARAD703XA2/NDARAD703XA2_Video-WK_Samples_ET.mat, Diary, 60, 5354042498, 5471429561, 117387063
/Volumes/methlab_data/HBN/EEG-ET/NDARAD774HAZ/NDARAD774HAZ_Video1_Samples_ET.mat, Diary, 60, 5043588044, 5160978943, 117390899
/Volumes/methlab_data/HBN/EEG-ET/NDARAD774HAZ/NDARAD774HAZ_Video3_Samples_ET.mat, Despicable, 60, 4592328323, 4762873777, 170545454
/Volumes/methlab_data/HBN/EEG-ET/NDARAE012DGA/NDARAE012DGA_Video1_Samples_ET.mat, Diary, 60, 3098018591, 3215417339, 117398748
/Volumes/methlab_data/HBN/EEG-ET/NDARAE012DGA/NDARAE012DGA_Video3_Samples_ET.mat, Despicable, 60, 2629640574, 2800184202, 170543628
/Volumes/methlab_data/HBN/EEG-ET/NDARAE199TDD/NDARAE199TDD_Video1_Samples_ET.mat, Diary, 60, 2548159347, 2665550477, 117391130
/Volumes/methlab_data/HBN/EEG-ET/NDARAE199TDD/NDARAE199TDD_Video3_Samples_ET.mat, Despicable, 60, 3300384905, 3470925671, 170540766
/Volumes/methlab_data/HBN/EEG-ET/NDARAE301XTM/NDARAE301XTM_Video1_Samples_ET.mat, Diary, 60, 3054792758, 3172187711, 117394953
/Volumes/methlab_data/HBN/EEG-ET/NDARAE301XTM/NDARAE301XTM_Video2_Samples_ET.mat, Fractals, 60, 3694092193, 3857085319, 162993126
/Volumes/methlab_data/HBN/EEG-ET/NDARAE301XTM/NDARAE301XTM_Video3_Samples_ET.mat, Despicable, 60, 4128306820, 4298851322, 170544502
/Volumes/methlab_data/HBN/EEG-ET/NDARAE301XTM/NDARAE301XTM_Video4_Samples_ET.mat, Present, 60, 4625412948, 4828475409, 203062461
/Volumes/methlab_data/HBN/EEG-ET/NDARAE828CML/NDARAE828CML_Video1_Samples_ET.mat, Diary, 60, 4818336548, 4935738342, 117401794
/Volumes/methlab_data/HBN/EEG-ET/NDARAE828CML/NDARAE828CML_Video3_Samples_ET.mat, Despicable, 60, 5199518270, 5370055508, 170537238
/Volumes/methlab_data/HBN/EEG-ET/NDARAE866UVF/NDARAE866UVF_Video-DM_Samples_ET.mat, Despicable, 120, 3812982954, 3983530278, 170547324
/Volumes/methlab_data/HBN/EEG-ET/NDARAE866UVF/NDARAE866UVF_Video-FF_Samples_ET.mat, Fractals, 120, 3279146269, 3442133217, 162986948
/Volumes/methlab_data/HBN/EEG-ET/NDARAE866UVF/NDARAE866UVF_Video-TP_Samples_ET.mat, Present, 120, 4557079204, 4760144961, 203065757
/Volumes/methlab_data/HBN/EEG-ET/NDARAE866UVF/NDARAE866UVF_Video-WK_Samples_ET.mat, Diary, 120, 2573519593, 2690908798, 117389205
/Volumes/methlab_data/HBN/EEG-ET/NDARAEZ493ZJ/NDARAEZ493ZJ_Video1_Samples_ET.mat, Diary, 60, 997025964, 1114417892, 117391928
/Volumes/methlab_data/HBN/EEG-ET/NDARAEZ493ZJ/NDARAEZ493ZJ_Video3_Samples_ET.mat, Despicable, 60, 783215960, 953756428, 170540468
/Volumes/methlab_data/HBN/EEG-ET/NDARAF003VCL/NDARAF003VCL_Video-DM_Samples_ET.mat, Despicable, 60, 5422628627, 5593168208, 170539581
/Volumes/methlab_data/HBN/EEG-ET/NDARAF003VCL/NDARAF003VCL_Video-TP_Samples_ET.mat, Present, 60, 5917605559, 6120881295, 203275736
/Volumes/methlab_data/HBN/EEG-ET/NDARAF003VCL/NDARAF003VCL_Video-WK_Samples_ET.mat, Diary, 60, 3883144198, 4000532237, 117388039
/Volumes/methlab_data/HBN/EEG-ET/NDARAF440XWG/NDARAF440XWG_Video-DM_Samples_ET.mat, Despicable, 120, 2572591505, 2743140293, 170548788
/Volumes/methlab_data/HBN/EEG-ET/NDARAF440XWG/NDARAF440XWG_Video-FF_Samples_ET.mat, Fractals, 120, 2843663969, 3006651201, 162987232
/Volumes/methlab_data/HBN/EEG-ET/NDARAF440XWG/NDARAF440XWG_Video-TP_Samples_ET.mat, Present, 120, 3257506315, 3460580364, 203074049
/Volumes/methlab_data/HBN/EEG-ET/NDARAF440XWG/NDARAF440XWG_Video-WK_Samples_ET.mat, Diary, 120, 3098274415, 3215664264, 117389849
/Volumes/methlab_data/HBN/EEG-ET/NDARAF535XK6/NDARAF535XK6_Video-DM_Samples_ET.mat, Despicable, 120, 3287990840, 3458537250, 170546410
/Volumes/methlab_data/HBN/EEG-ET/NDARAF535XK6/NDARAF535XK6_Video-FF_Samples_ET.mat, Fractals, 120, 3838935968, 4001933752, 162997784
/Volumes/methlab_data/HBN/EEG-ET/NDARAF535XK6/NDARAF535XK6_Video-TP_Samples_ET.mat, Present, 120, 4041974471, 4245038385, 203063914
/Volumes/methlab_data/HBN/EEG-ET/NDARAF535XK6/NDARAF535XK6_Video-WK_Samples_ET.mat, Diary, 120, 3668628917, 3786025919, 117397002
/Volumes/methlab_data/HBN/EEG-ET/NDARAG143ARJ/NDARAG143ARJ_Video1_Samples_ET.mat, Diary, 60, 2514158725, 2631547629, 117388904
/Volumes/methlab_data/HBN/EEG-ET/NDARAG143ARJ/NDARAG143ARJ_Video3_Samples_ET.mat, Despicable, 60, 3850544147, 4021087570, 170543423
/Volumes/methlab_data/HBN/EEG-ET/NDARAG191AE8/NDARAG191AE8_Video-DM_Samples_ET.mat, Despicable, 60, 2882698679, 3053247043, 170548364
/Volumes/methlab_data/HBN/EEG-ET/NDARAG191AE8/NDARAG191AE8_Video-TP_Samples_ET.mat, Present, 60, 3766158020, 3969424460, 203266440
/Volumes/methlab_data/HBN/EEG-ET/NDARAG191AE8/NDARAG191AE8_Video-WK_Samples_ET.mat, Diary, 60, 3350353652, 3467741497, 117387845
/Volumes/methlab_data/HBN/EEG-ET/NDARAG340ERT/NDARAG340ERT_Video1_Samples_ET.mat, Diary, 60, 5442919266, 5560317297, 117398031
/Volumes/methlab_data/HBN/EEG-ET/NDARAG340ERT/NDARAG340ERT_Video3_Samples_ET.mat, Despicable, 60, 4986585509, 5157127212, 170541703
/Volumes/methlab_data/HBN/EEG-ET/NDARAG584XLU/NDARAG584XLU_Video1_Samples_ET.mat, Fractals, 120, 4473380284, 4636366621, 162986337
/Volumes/methlab_data/HBN/EEG-ET/NDARAG584XLU/NDARAG584XLU_Video2_Samples_ET.mat, Despicable, 120, 5282524138, 5453081082, 170556944
/Volumes/methlab_data/HBN/EEG-ET/NDARAG584XLU/NDARAG584XLU_Video3_Samples_ET.mat, Diary, 120, 5761941730, 5879339346, 117397616
/Volumes/methlab_data/HBN/EEG-ET/NDARAG584XLU/NDARAG584XLU_Video4_Samples_ET.mat, Present, 120, 6374597757, 6577659172, 203061415
/Volumes/methlab_data/HBN/EEG-ET/NDARAG610XL4/NDARAG610XL4_Video-DM_Samples_ET.mat, Despicable, 60, 3687356313, 3857906020, 170549707
/Volumes/methlab_data/HBN/EEG-ET/NDARAG610XL4/NDARAG610XL4_Video-WK_Samples_ET.mat, Diary, 60, 4568518897, 4685906950, 117388053
/Volumes/methlab_data/HBN/EEG-ET/NDARAH239PGG/NDARAH239PGG_Video-DM_Samples_ET.mat, Despicable, 30, 2618596734, 2789132429, 170535695
/Volumes/methlab_data/HBN/EEG-ET/NDARAH239PGG/NDARAH239PGG_Video-TP_Samples_ET.mat, Present, 30, 3088312117, 3291578970, 203266853
/Volumes/methlab_data/HBN/EEG-ET/NDARAH239PGG/NDARAH239PGG_Video-WK_Samples_ET.mat, Diary, 30, 1585911981, 1703313081, 117401100
/Volumes/methlab_data/HBN/EEG-ET/NDARAH304ED7/NDARAH304ED7_Video1_Samples_ET.mat, Despicable, 120, 9151692680, 9322239128, 170546448
/Volumes/methlab_data/HBN/EEG-ET/NDARAH304ED7/NDARAH304ED7_Video2_Samples_ET.mat, Diary, 120, 9370310768, 9487707417, 117396649
/Volumes/methlab_data/HBN/EEG-ET/NDARAH304ED7/NDARAH304ED7_Video3_Samples_ET.mat, Fractals, 120, 9539239090, 9702226568, 162987478
/Volumes/methlab_data/HBN/EEG-ET/NDARAH304ED7/NDARAH304ED7_Video4_Samples_ET.mat, Present, 120, 9837367772, 10040434710, 203066938
/Volumes/methlab_data/HBN/EEG-ET/NDARAH503YG1/NDARAH503YG1_Video1_Samples_ET.mat, Diary, 60, 437036459, 554426245, 117389786
/Volumes/methlab_data/HBN/EEG-ET/NDARAH503YG1/NDARAH503YG1_Video4_Samples_ET.mat, Present, 60, 921247051, 1124307362, 203060311
/Volumes/methlab_data/HBN/EEG-ET/NDARAH793FBF/NDARAH793FBF_Video1_Samples_ET.mat, Diary, 120, 3165634177, 3283030490, 117396313
/Volumes/methlab_data/HBN/EEG-ET/NDARAH793FBF/NDARAH793FBF_Video2_Samples_ET.mat, Fractals, 120, 4446650385, 4609635437, 162985052
/Volumes/methlab_data/HBN/EEG-ET/NDARAH793FBF/NDARAH793FBF_Video3_Samples_ET.mat, Despicable, 120, 5028504290, 5199047896, 170543606
/Volumes/methlab_data/HBN/EEG-ET/NDARAH793FBF/NDARAH793FBF_Video4_Samples_ET.mat, Present, 120, 5833711085, 6036775274, 203064189
/Volumes/methlab_data/HBN/EEG-ET/NDARAH948UF0/NDARAH948UF0_Video1_Samples_ET.mat, Diary, 60, 2527312363, 2644701275, 117388912
/Volumes/methlab_data/HBN/EEG-ET/NDARAH948UF0/NDARAH948UF0_Video3_Samples_ET.mat, Despicable, 60, 2309639589, 2480183201, 170543612
/Volumes/methlab_data/HBN/EEG-ET/NDARAH976BND/NDARAH976BND_Video-DM_Samples_ET.mat, Despicable, 60, 4718547159, 4889084654, 170537495
/Volumes/methlab_data/HBN/EEG-ET/NDARAH976BND/NDARAH976BND_Video-TP_Samples_ET.mat, Present, 60, 5222792348, 5426060904, 203268556
/Volumes/methlab_data/HBN/EEG-ET/NDARAH976BND/NDARAH976BND_Video-WK_Samples_ET.mat, Diary, 60, 3556130173, 3673519106, 117388933
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ366ZFA/NDARAJ366ZFA_Video1_Samples_ET.mat, Diary, 60, 4425006372, 4542400381, 117394009
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ366ZFA/NDARAJ366ZFA_Video3_Samples_ET.mat, Despicable, 60, 3951900864, 4122441456, 170540592
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ689BVN/NDARAJ689BVN_Video1_Samples_ET.mat, Diary, 60, 3224747049, 3342136925, 117389876
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ689BVN/NDARAJ689BVN_Video2_Samples_ET.mat, Fractals, 60, 2089751216, 2252739226, 162988010
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ689BVN/NDARAJ689BVN_Video3_Samples_ET.mat, Despicable, 60, 2784434374, 2954985758, 170551384
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ689BVN/NDARAJ689BVN_Video4_Samples_ET.mat, Present, 60, 3658899360, 3861968673, 203069313
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ768CF0/NDARAJ768CF0_Video-DM_Samples_ET.mat, Despicable, 60, 3304356299, 3474901582, 170545283
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ768CF0/NDARAJ768CF0_Video-FF_Samples_ET.mat, Fractals, 60, 2637411977, 2800394915, 162982938
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ768CF0/NDARAJ768CF0_Video-TP_Samples_ET.mat, Present, 60, 3794269801, 3997330020, 203060219
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ768CF0/NDARAJ768CF0_Video-WK_Samples_ET.mat, Diary, 60, 2033925379, 2151321177, 117395798
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ807UYR/NDARAJ807UYR_Video1_Samples_ET.mat, Diary, 60, 2287092097, 2404487124, 117395027
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ807UYR/NDARAJ807UYR_Video3_Samples_ET.mat, Despicable, 60, 3217470098, 3388013745, 170543647
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ977PRJ/NDARAJ977PRJ_Video-DM_Samples_ET.mat, Despicable, 60, 8042459827, 8213000361, 170540534
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ977PRJ/NDARAJ977PRJ_Video-TP_Samples_ET.mat, Present, 60, 9255059711, 9458324376, 203264665
/Volumes/methlab_data/HBN/EEG-ET/NDARAJ977PRJ/NDARAJ977PRJ_Video-WK_Samples_ET.mat, Diary, 60, 7045100077, 7162492036, 117391959
/Volumes/methlab_data/HBN/EEG-ET/NDARAK187ZLP/NDARAK187ZLP_Video3_Samples_ET.mat, Despicable, 60, 4048837090, 4219381650, 170544560
/Volumes/methlab_data/HBN/EEG-ET/NDARAK653RYE/NDARAK653RYE_Video1_Samples_ET.mat, Diary, 120, 3403708171, 3521096342, 117388171
/Volumes/methlab_data/HBN/EEG-ET/NDARAK653RYE/NDARAK653RYE_Video2_Samples_ET.mat, Fractals, 120, 4462470574, 4625468253, 162997679
/Volumes/methlab_data/HBN/EEG-ET/NDARAK653RYE/NDARAK653RYE_Video3_Samples_ET.mat, Despicable, 120, 5024280350, 5194821657, 170541307
