Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,0.0,0.0,0.0,0.0
2,00:00:00.067,38.72808930425753,50.916471962616825,6.795872274143302,58.47192367601246
3,00:00:00.100,24.40236240913811,43.487733644859816,5.905295950155764,23.814057632398754
4,00:00:00.133,63.86923676012461,15.0,5.980140186915888,170.62757009345793
5,00:00:00.167,8.6154984423676,1.0054517133956387,14.570794392523364,10.2702492211838
6,00:00:00.200,0.002349428868120457,0.0,0.0008956386292834891,0.006152647975077882
7,00:00:00.234,5.201129283489096,1.9943146417445483,7.2070093457943925,6.402063862928349
8,00:00:00.267,5.337590861889928,2.023286604361371,6.6981697819314645,7.291316199376947
9,00:00:00.300,4.600233644859813,1.5914719626168223,6.468068535825545,5.741160436137072
10,00:00:00.334,6.301401869158878,1.1103582554517133,13.983566978193146,3.810280373831776
11,00:00:00.367,0.10508826583592938,0.03870716510903427,0.04326323987538941,0.23329439252336448
12,00:00:00.400,4.47566199376947,1.0470404984423676,6.934384735202492,5.445560747663551
13,00:00:00.434,3.8863707165109034,0.3116822429906542,6.999805295950155,4.3476246105919
14,00:00:00.467,3.7755451713395636,0.177803738317757,6.845327102803738,4.303504672897196
15,00:00:00.501,6.305931983385254,0.717601246105919,14.684384735202492,3.515809968847352
16,00:00:00.534,0.15619158878504674,0.08041277258566978,0.08360591900311526,0.30455607476635516
17,00:00:00.567,3.4642004153686394,0.7366433021806854,6.6029205607476635,3.05303738317757
18,00:00:00.601,3.6401609553478713,0.8475856697819315,7.512772585669782,2.5601246105919
19,00:00:00.634,3.069223779854621,0.9804127725856698,5.709890965732087,2.517367601246106
20,00:00:00.667,5.963772066458982,1.0024922118380062,14.509929906542055,2.3788940809968846
21,00:00:00.701,0.20887850467289718,0.2836448598130841,0.10186915887850467,0.2411214953271028
22,00:00:00.734,3.6165887850467286,0.956113707165109,7.2836448598130845,2.610007788161994
23,00:00:00.767,3.5467549325025964,1.2420171339563864,6.7887071651090345,2.609540498442368
24,00:00:00.801,3.4142133956386296,1.1353971962616822,7.122001557632399,1.985241433021807
25,00:00:00.834,5.89018691588785,1.2561915887850468,14.461331775700934,1.95303738317757
26,00:00:00.868,0.20617860851505712,0.2772196261682243,0.12457165109034268,0.21674454828660436
27,00:00:00.901,3.024974039460021,1.0409657320872274,6.152336448598131,1.881619937694704
28,00:00:00.934,3.3826843198338525,1.2299454828660437,6.966939252336449,1.9511682242990653
29,00:00:00.968,3.3642393561786084,1.4065809968847351,6.456464174454829,2.2296728971962616
30,00:00:01.001,5.840719106957425,1.4215732087227415,13.831542056074767,2.2690420560747664
31,00:00:01.034,0.2633177570093458,0.3147196261682243,0.21518691588785047,0.2600467289719626
32,00:00:01.068,3.692354620976116,1.3573598130841122,7.740576323987539,1.9791277258566977
33,00:00:01.101,3.087980269989616,1.1174065420560748,6.561526479750778,1.5850077881619937
34,00:00:01.134,0.1195742471443406,0.10697040498442367,0.08582554517133957,0.16592679127725857
35,00:00:01.168,0.041926272066458985,0.04030373831775701,0.037383177570093455,0.04809190031152648
36,00:00:01.201,0.008982346832814124,0.014914330218068535,0.005607476635514018,0.006425233644859813
37,00:00:01.235,0.07924454828660436,0.1463785046728972,0.027024922118380063,0.06433021806853582
38,00:00:01.268,0.05019470404984424,0.07402647975077882,0.03788940809968847,0.03866822429906542
39,00:00:01.301,0.027868639667705086,0.03991433021806853,0.020950155763239876,0.022741433021806853
40,00:00:01.335,0.09636552440290758,0.1382398753894081,0.052842679127725854,0.09801401869158878
41,00:00:01.368,0.03896677050882658,0.0808411214953271,0.015459501557632399,0.02059968847352025
42,00:00:01.401,0.13080218068535823,0.2261682242990654,0.060046728971962615,0.10619158878504673
43,00:00:01.435,0.07693406022845274,0.11203271028037383,0.05354361370716511,0.06522585669781931
44,00:00:01.468,0.01481048805815161,0.02924454828660436,0.00661993769470405,0.008566978193146417
45,00:00:01.502,0.02889408099688473,0.05556853582554517,0.012655763239875389,0.018457943925233644
46,00:00:01.535,0.0390576323987539,0.08193146417445483,0.012538940809968847,0.022702492211838007
47,00:00:01.568,0.03334631360332295,0.0661214953271028,0.015381619937694704,0.01853582554517134
48,00:00:01.602,0.010514018691588784,0.01791277258566978,0.006347352024922119,0.007281931464174455
49,00:00:01.635,0.012694704049844236,0.02106697819314642,0.007281931464174455,0.009735202492211837
50,00:00:01.668,0.011188992731048807,0.02250778816199377,0.0025700934579439253,0.008489096573208723
51,00:00:01.702,0.00828141225337487,0.018613707165109034,0.00132398753894081,0.004906542056074766
52,00:00:01.735,0.00643821391484943,0.0117601246105919,0.002764797507788162,0.0047897196261682245
53,00:00:01.768,0.005244029075804776,0.00868380062305296,0.002803738317757009,0.004244548286604362
54,00:00:01.802,0.02834890965732087,0.006697819314641745,0.042912772585669785,0.03543613707165109
55,00:00:01.835,1.196858774662513,1.6207554517133957,0.7440809968847352,1.2257398753894082
56,00:00:01.869,0.020404984423676012,0.0381619937694704,0.0110202492211838,0.012032710280373832
57,00:00:01.902,0.08393042575285566,0.0478582554517134,0.09532710280373832,0.10860591900311527
58,00:00:01.935,0.08430685358255452,0.05424454828660436,0.08590342679127726,0.11277258566978193
59,00:00:01.969,0.028011422637590863,0.01674454828660436,0.03792834890965732,0.029361370716510904
60,00:00:02.002,0.007139148494288682,0.010085669781931464,0.005802180685358255,0.005529595015576324
61,00:00:02.035,0.013343717549325026,0.024454828660436138,0.0075155763239875386,0.008060747663551401
62,00:00:02.069,0.03599428868120457,0.041666666666666664,0.030607476635514018,0.035708722741433024
