Var1,Var2
288,Text
288,Text
288,Text
289,Text
289,Text
289,Text
290,Text
290,Text
290,Text
291,Text
291,Text
291,Text
292,Text
292,Text
292,Text
293,Text
293,Text
293,Text
294,Text
294,Text
294,Text
295,Text
295,Text
295,Text
296,Text
296,Text
296,Text
297,Text
297,Text
297,Text
298,Text
298,Text
298,Text
299,Text
299,Text
299,Text
300,Text
300,Text
300,Text
301,Text
301,Text
301,Text
302,Text
302,Text
302,Text
303,Text
303,Text
303,Text
304,Text
304,Text
304,Text
305,Text
305,Text
305,Text
306,Text
306,Text
306,Text
307,Text
307,Text
307,Text
308,Text
308,Text
308,Text
309,Text
309,Text
309,Text
310,Text
310,Text
310,Text
311,Text
311,Text
311,Text
312,Text
312,Text
312,Text
313,Text
313,Text
313,Text
314,Text
314,Text
314,Text
315,Text
315,Text
315,Text
316,Text
316,Text
316,Text
317,Text
317,Text
317,Text
318,Text
318,Text
318,Text
319,Text
319,Text
319,Text
320,Text
320,Text
320,Text
321,Text
321,Text
321,Text
322,Text
322,Text
322,Text
323,Text
323,Text
323,Text
324,Text
324,Text
324,Text
325,Text
325,Text
325,Text
326,Text
326,Text
326,Text
327,Text
327,Text
327,Text
328,Text
328,Text
328,Text
329,Text
329,Text
329,Text
330,Text
330,Text
330,Text
331,Text
331,Text
331,Text
332,Text
332,Text
332,Text
333,Text
333,Text
333,Text
334,Text
334,Text
334,Text
335,Text
335,Text
335,Text
336,Text
336,Text
336,Text
337,Text
337,Text
337,Text
338,Text
338,Text
338,Text
339,Text
339,Text
339,Text
340,Text
340,Text
340,Text
341,Text
341,Text
341,Text
342,Text
342,Text
342,Text
343,Text
343,Text
343,Text
344,Text
344,Text
344,Text
345,Text
345,Text
345,Text
346,Text
346,Text
346,Text
347,Text
347,Text
347,Text
348,Text
348,Text
348,Text
349,Text
349,Text
349,Text
350,Text
350,Text
350,Text
351,Text
351,Text
351,Text
352,Text
352,Text
352,Text
353,Text
353,Text
353,Text
354,Text
354,Text
354,Text
355,Text
355,Text
355,Text
356,Text
356,Text
356,Text
357,Text
357,Text
357,Text
358,Text
358,Text
358,Text
359,Text
359,Text
359,Text
360,Text
360,Text
360,Text
361,Text
361,Text
361,Text
362,Text
362,Text
362,Text
363,Text
363,Text
363,Text
364,Text
364,Text
364,Text
365,Text
365,Text
365,Text
366,Text
366,Text
366,Text
367,Text
367,Text
367,Text
368,Text
368,Text
368,Text
369,Text
369,Text
369,Text
370,Text
370,Text
370,Text
371,Text
371,Text
371,Text
372,Text
372,Text
372,Text
373,Text
373,Text
373,Text
374,Text
374,Text
374,Text
375,Text
375,Text
375,Text
376,Text
376,Text
376,Text
377,Text
377,Text
377,Text
378,Text
378,Text
378,Text
379,Text
379,Text
379,Text
380,Text
380,Text
380,Text
381,Text
381,Text
381,Text
382,Text
382,Text
382,Text
383,Text
383,Text
383,Text
384,Text
384,Text
384,Text
385,Text
385,Text
385,Text
386,Text
386,Text
386,Text
387,Text
387,Text
387,Text
388,Text
388,Text
388,Text
389,Text
389,Text
389,Text
390,Text
390,Text
390,Text
391,Text
391,Text
391,Text
392,Text
392,Text
392,Text
393,Text
393,Text
393,Text
394,Text
394,Text
394,Text
395,Text
395,Text
395,Text
396,Text
396,Text
396,Text
397,Text
397,Text
397,Text
398,Text
398,Text
398,Text
399,Text
399,Text
399,Text
400,Text
400,Text
400,Text
401,Text
401,Text
401,Text
402,Text
402,Text
402,Text
