IDs,Video,Resolution
NDARAC462DZH,/Volumes/methlab_data/HBN/EEG-ET/NDARAC462DZH/NDARAC462DZH_Video-WK_Samples_ET.mat,800600
NDARAC495TJ2,/Volumes/methlab_data/HBN/EEG-ET/NDARAC495TJ2/NDARAC495TJ2_Video3_Samples_ET.mat,800600
NDARAC589YMB,/Volumes/methlab_data/HBN/EEG-ET/NDARAC589YMB/NDARAC589YMB_Video-DM_Samples_ET.mat,1440900
NDARAC589YMB,/Volumes/methlab_data/HBN/EEG-ET/NDARAC589YMB/NDARAC589YMB_Video-TP_Samples_ET.mat,1440900
NDARAC589YMB,/Volumes/methlab_data/HBN/EEG-ET/NDARAC589YMB/NDARAC589YMB_Video-WK_Samples_ET.mat,1440900
NDARAC853CR6,/Volumes/methlab_data/HBN/EEG-ET/NDARAC853CR6/NDARAC853CR6_Video-DM_Samples_ET.mat,1440900
NDARAC853CR6,/Volumes/methlab_data/HBN/EEG-ET/NDARAC853CR6/NDARAC853CR6_Video-TP_Samples_ET.mat,1440900
NDARAC853CR6,/Volumes/methlab_data/HBN/EEG-ET/NDARAC853CR6/NDARAC853CR6_Video-WK_Samples_ET.mat,1440900
NDARAC853DTE,/Volumes/methlab_data/HBN/EEG-ET/NDARAC853DTE/NDARAC853DTE_Video1_Samples_ET.mat,800600
NDARAC853DTE,/Volumes/methlab_data/HBN/EEG-ET/NDARAC853DTE/NDARAC853DTE_Video3_Samples_ET.mat,800600
NDARAC857HDB,/Volumes/methlab_data/HBN/EEG-ET/NDARAC857HDB/NDARAC857HDB_Video1_Samples_ET.mat,800600
NDARAC857HDB,/Volumes/methlab_data/HBN/EEG-ET/NDARAC857HDB/NDARAC857HDB_Video2_Samples_ET.mat,800600
NDARAC857HDB,/Volumes/methlab_data/HBN/EEG-ET/NDARAC857HDB/NDARAC857HDB_Video3_Samples_ET.mat,800600
NDARAC857HDB,/Volumes/methlab_data/HBN/EEG-ET/NDARAC857HDB/NDARAC857HDB_Video4_Samples_ET.mat,800600
NDARAC904DMU,/Volumes/methlab_data/HBN/EEG-ET/NDARAC904DMU/NDARAC904DMU_Video1_Samples_ET.mat,800600
NDARAC904DMU,/Volumes/methlab_data/HBN/EEG-ET/NDARAC904DMU/NDARAC904DMU_Video3_Samples_ET.mat,800600
NDARAD224CRB,/Volumes/methlab_data/HBN/EEG-ET/NDARAD224CRB/NDARAD224CRB_Video1_Samples_ET.mat,800600
NDARAD224CRB,/Volumes/methlab_data/HBN/EEG-ET/NDARAD224CRB/NDARAD224CRB_Video2_Samples_ET.mat,800600
